id,mahalle,fiyat,brut,net,kat,bina_kat,banyo_sayi,isitma,oda_sayisi,site_ici,tarih,bina_yasi,balkon,asansor,cephe_K,cephe_B,cephe_D,cephe_G,deniz_man,nizam,longitude,latitude
1350,Aydinlikevler,790000,200,150,8,15,2,2,3,0,2021/09/09,1,0,0,1,0,0,0,1,0,34.581,36.785
1351,Aydinlikevler,429000,150,130,10,10,1,0,2,0,2021/09/26,9,0,0,0,1,0,0,0,1,34.583,36.785
1352,Aydinlikevler,270000,150,145,0,4,1,0,1,1,2021/09/13,7,0,1,,,,,1,1,34.581,36.784
1353,Aydinlikevler,350000,190,180,4,4,1,0,2,1,2021/09/02,9,0,0,0,1,0,1,1,0,34.581,36.783
1354,Aydinlikevler,318000,170,150,1,4,1,0,2,0,2021/09/03,9,0,0,0,0,1,1,1,0,34.581,36.782
1355,Aydinlikevler,274000,120,110,0,3,1,0,1,1,2021/10/07,5,0,0,1,0,1,0,1,0,34.581,36.782
1356,Aydinlikevler,280000,65,55,1,3,1,1,0,1,2021/09/07,3,0,0,0,1,1,1,1,0,34.581,36.782
1357,Aydinlikevler,267500,90,80,0,3,1,1,1,1,2021/09/08,5,0,1,1,1,0,0,1,0,34.581,36.783
1358,Aydinlikevler,315000,165,135,3,3,1,0,2,1,2021/10/01,8,0,1,0,0,0,1,1,1,34.582,36.783
1359,Aydinlikevler,480000,180,170,3,3,1,0,2,1,2021/09/07,7,1,1,0,0,0,1,1,0,34.579,36.781
1360,Aydinlikevler,365000,185,185,1,4,1,0,2,0,2021/09/11,10,0,1,0,0,1,1,1,0,34.579,36.780
1361,Aydinlikevler,510000,150,130,3,4,2,0,2,1,2021/07/02,5,0,0,0,0,1,0,1,0,34.579,36.780
1362,Aydinlikevler,308500,150,120,4,4,1,1,2,1,2021/09/10,10,0,1,0,0,1,0,1,0,34.580,36.780
1363,Aydinlikevler,550000,185,160,4,4,2,1,2,1,2021/09/14,4,0,1,0,1,0,1,1,0,34.580,36.780
1364,Aydinlikevler,358000,145,130,2,4,1,0,1,1,2021/09/23,5,0,1,0,0,1,1,1,0,34.580,36.780
1365,Aydinlikevler,295000,130,120,0,4,1,0,1,1,2021/09/09,8,0,1,,,,,1,0,34.580,36.780
1367,Aydinlikevler,255000,110,85,4,4,1,0,1,1,2021/09/26,8,0,1,1,0,1,0,1,0,34.580,36.780
1368,Aydinlikevler,260000,100,85,0,4,1,0,1,1,2021/09/08,5,0,1,0,0,1,1,1,0,34.581,36.779
1369,Aydinlikevler,355000,90,75,3,4,1,0,1,1,2021/09/15,5,0,1,1,1,0,0,1,0,34.581,36.779
1370,Aydinlikevler,265000,135,120,4,4,1,0,1,1,2021/09/15,9,0,1,1,1,0,0,0,0,34.581,36.779
1371,Aydinlikevler,265000,165,150,5,5,1,0,2,1,2021/09/08,10,0,1,,,,,0,1,34.578,36.779
1372,Aydinlikevler,240000,130,110,4,4,1,0,2,1,2021/09/13,9,0,1,,,,,1,1,34.578,36.778
1373,Aydinlikevler,350000,200,180,2,5,1,0,2,1,2021/10/01,8,0,1,0,1,1,0,1,0,34.582,36.779
1374,Aydinlikevler,250000,130,110,2,4,1,0,1,1,2021/09/30,9,0,1,1,0,1,1,1,0,34.583,36.780
1375,Aydinlikevler,319000,180,160,1,4,1,0,2,0,2021/09/21,9,0,1,0,0,1,1,1,0,34.583,36.780
